form id,writer id,number of sentences,word segmentation,NBTO,NBOK,WOTO,WOOK,path
a05-094,000,4,prt,11,10,87,80,forms/a05-094.png
a05-099,000,4,prt,10,9,81,76,forms/a05-099.png
a05-104,000,3,prt,10,9,67,60,forms/a05-104.png
a05-108,000,4,prt,8,7,59,52,forms/a05-108.png
a05-113,000,2,prt,10,9,70,61,forms/a05-113.png
a05-116,000,4,prt,10,8,74,59,forms/a05-116.png
a05-121,000,3,prt,10,9,65,56,forms/a05-121.png
a05-125,000,3,all,8,8,45,45,forms/a05-125.png
a06-000,066,3,all,8,8,63,63,forms/a06-000.png
a06-004,066,3,all,10,10,73,73,forms/a06-004.png
a06-008,067,5,prt,8,6,77,54,forms/a06-008.png
a06-014,068,5,prt,11,10,74,64,forms/a06-014.png
a06-020,069,4,all,6,6,74,74,forms/a06-020.png
a06-025,070,5,all,9,9,61,61,forms/a06-025.png
a06-036,071,2,all,8,8,66,66,forms/a06-036.png
a06-039,072,4,prt,11,8,75,54,forms/a06-039.png
a06-044,073,6,prt,7,6,70,58,forms/a06-044.png
a06-051,074,5,all,9,9,74,74,forms/a06-051.png
a06-057,075,6,all,6,6,75,75,forms/a06-057.png
a06-064,076,5,prt,10,9,77,67,forms/a06-064.png
a06-070,077,4,all,9,9,69,69,forms/a06-070.png
a06-075,078,4,all,9,9,68,68,forms/a06-075.png
a06-090,079,4,all,9,9,78,78,forms/a06-090.png
a06-095,080,4,all,11,11,72,72,forms/a06-095.png
a06-100,081,5,prt,7,6,78,67,forms/a06-100.png
a06-110,082,3,prt,9,8,50,43,forms/a06-110.png
a06-114,083,4,all,10,10,67,67,forms/a06-114.png
a06-119,084,4,prt,10,9,61,58,forms/a06-119.png
a06-124,085,3,all,6,6,67,67,forms/a06-124.png
a06-128,084,5,prt,11,9,67,55,forms/a06-128.png
a06-134,085,6,prt,8,6,88,67,forms/a06-134.png
a06-141,085,5,all,7,7,68,68,forms/a06-141.png
a06-147,085,4,prt,7,6,76,65,forms/a06-147.png
a06-152,086,4,prt,11,10,68,62,forms/a06-152.png
a06-157,085,3,prt,4,2,46,23,forms/a06-157.png
b01-000,087,3,all,7,7,50,50,forms/b01-000.png
b01-004,087,4,all,8,8,65,65,forms/b01-004.png
b01-009,087,4,all,8,8,61,61,forms/b01-009.png
b01-014,088,3,prt,9,7,77,62,forms/b01-014.png
b01-018,088,4,prt,9,8,74,63,forms/b01-018.png
b01-023,088,3,all,7,7,60,60,forms/b01-023.png
b01-027,089,5,prt,9,8,73,66,forms/b01-027.png
b01-033,089,4,all,6,6,54,54,forms/b01-033.png
b01-038,089,5,prt,11,10,99,92,forms/b01-038.png
b01-044,090,4,all,7,7,64,64,forms/b01-044.png
b01-049,090,3,prt,8,6,69,51,forms/b01-049.png
b01-053,090,3,prt,8,5,65,36,forms/b01-053.png
b01-057,017,4,all,11,11,95,95,forms/b01-057.png
b01-062,017,5,prt,10,9,75,68,forms/b01-062.png
b01-073,091,5,prt,11,10,87,78,forms/b01-073.png
b01-079,091,4,all,11,11,90,90,forms/b01-079.png
b01-084,092,4,prt,8,6,72,56,forms/b01-084.png
b01-089,092,4,prt,10,8,81,65,forms/b01-089.png
b01-094,092,4,prt,10,8,69,53,forms/b01-094.png
b01-113,093,4,all,8,8,77,77,forms/b01-113.png
b01-118,093,3,all,9,9,79,79,forms/b01-118.png
b01-122,093,4,all,9,9,79,79,forms/b01-122.png
b01-127,094,4,prt,10,9,73,65,forms/b01-127.png
b01-132,094,3,prt,9,8,71,64,forms/b01-132.png
b01-136,094,4,prt,8,7,73,63,forms/b01-136.png
b02-013,095,2,prt,10,8,73,59,forms/b02-013.png
b02-035,095,3,prt,11,9,78,63,forms/b02-035.png
b02-045,096,3,all,9,9,94,94,forms/b02-045.png
b02-097,097,4,all,9,9,81,81,forms/b02-097.png
b02-102,098,2,all,7,7,62,62,forms/b02-102.png
b02-105,099,2,all,6,6,42,42,forms/b02-105.png
b03-025,100,2,all,7,7,65,65,forms/b03-025.png
b03-087,102,4,all,6,6,74,74,forms/b03-087.png
b03-092,102,5,all,7,7,72,72,forms/b03-092.png
b03-098,103,5,all,10,10,79,79,forms/b03-098.png
b03-104,104,4,all,10,10,78,78,forms/b03-104.png
b03-109,105,4,prt,9,6,84,52,forms/b03-109.png
b03-114,106,5,all,9,9,67,67,forms/b03-114.png
b04-000,107,3,all,7,7,50,50,forms/b04-000.png
b04-004,107,5,all,11,11,75,75,forms/b04-004.png
b04-010,107,9,all,10,10,77,77,forms/b04-010.png
b04-020,107,5,all,9,9,69,69,forms/b04-020.png
b04-026,108,7,prt,7,3,86,35,forms/b04-026.png
b04-034,108,5,all,6,6,66,66,forms/b04-034.png
b04-040,108,6,all,6,6,71,71,forms/b04-040.png
b04-047,108,6,all,6,6,68,68,forms/b04-047.png
b04-054,109,5,all,7,7,66,66,forms/b04-054.png
b04-060,109,5,all,7,7,69,69,forms/b04-060.png
b04-066,109,8,all,7,7,71,71,forms/b04-066.png
b04-075,109,5,all,6,6,68,68,forms/b04-075.png
b04-081,110,7,prt,7,4,70,36,forms/b04-081.png
b04-089,110,6,prt,8,3,73,27,forms/b04-089.png
b04-096,110,6,prt,8,6,71,56,forms/b04-096.png
b04-103,110,3,prt,7,3,65,28,forms/b04-103.png
b04-107,111,8,all,9,9,74,74,forms/b04-107.png
b04-116,111,4,all,8,8,79,79,forms/b04-116.png
b04-121,111,6,all,7,7,66,66,forms/b04-121.png
b04-128,111,5,all,7,7,70,70,forms/b04-128.png
b04-134,112,5,all,10,10,84,84,forms/b04-134.png
b04-140,112,6,all,9,9,73,73,forms/b04-140.png
b04-147,112,6,all,8,8,72,72,forms/b04-147.png
b04-154,112,7,all,8,8,69,69,forms/b04-154.png
b04-162,113,6,all,9,9,70,70,forms/b04-162.png
b04-169,113,5,prt,8,6,65,48,forms/b04-169.png
b04-175,113,5,prt,9,7,70,55,forms/b04-175.png
b04-181,113,5,all,8,8,61,61,forms/b04-181.png
b04-187,114,7,all,8,8,74,74,forms/b04-187.png
b04-195,114,6,all,7,7,62,62,forms/b04-195.png
b04-202,114,5,all,8,8,73,73,forms/b04-202.png
b04-208,114,1,all,3,3,19,19,forms/b04-208.png
b05-017,115,6,all,6,6,65,65,forms/b05-017.png
b05-032,116,5,all,11,11,98,98,forms/b05-032.png
b05-038,117,3,prt,9,8,64,54,forms/b05-038.png
b05-042,117,2,prt,11,9,92,74,forms/b05-042.png
b05-045,117,4,prt,10,8,80,61,forms/b05-045.png
b05-050,117,4,prt,9,7,63,42,forms/b05-050.png
b05-055,118,2,all,5,5,61,61,forms/b05-055.png
b05-058,118,3,prt,6,5,68,60,forms/b05-058.png
b05-062,118,4,all,6,6,62,62,forms/b05-062.png
b05-067,118,3,prt,7,6,79,67,forms/b05-067.png
b05-071,118,2,prt,6,5,59,49,forms/b05-071.png
b05-074,119,4,all,11,11,105,105,forms/b05-074.png
b05-079,120,3,all,10,10,65,65,forms/b05-079.png
b05-083,121,4,prt,9,8,69,65,forms/b05-083.png
b05-088,122,4,prt,8,6,77,55,forms/b05-088.png
b05-098,121,3,all,10,10,75,75,forms/b05-098.png
b06-000,123,3,all,8,8,72,72,forms/b06-000.png
b06-004,124,3,all,8,8,64,64,forms/b06-004.png
b06-008,125,3,all,10,10,75,75,forms/b06-008.png
b06-012,126,2,prt,6,5,60,51,forms/b06-012.png
b06-015,127,3,prt,11,9,68,52,forms/b06-015.png
b06-019,128,3,prt,10,8,72,52,forms/b06-019.png
b06-023,123,3,all,8,8,71,71,forms/b06-023.png
b06-027,129,4,prt,10,5,61,26,forms/b06-027.png
b06-032,130,3,all,7,7,57,57,forms/b06-032.png
b06-036,126,5,prt,8,7,91,77,forms/b06-036.png
b06-042,131,2,prt,11,10,83,71,forms/b06-042.png
b06-045,132,3,prt,9,8,69,66,forms/b06-045.png
b06-049,124,3,all,10,10,77,77,forms/b06-049.png
b06-053,127,2,prt,11,9,58,46,forms/b06-053.png
b06-056,125,2,prt,11,10,77,67,forms/b06-056.png
b06-059,130,4,prt,11,9,82,70,forms/b06-059.png
b06-064,133,3,all,11,11,70,70,forms/b06-064.png
b06-068,131,2,all,11,11,70,70,forms/b06-068.png
b06-071,128,3,prt,10,9,65,58,forms/b06-071.png
b06-075,124,3,all,11,11,90,90,forms/b06-075.png
b06-079,130,2,all,10,10,81,81,forms/b06-079.png
b06-082,132,4,prt,10,8,81,67,forms/b06-082.png
b06-087,134,2,all,9,9,69,69,forms/b06-087.png
b06-090,134,2,prt,8,7,62,58,forms/b06-090.png
b06-093,125,3,all,11,11,71,71,forms/b06-093.png
b06-097,123,2,all,8,8,63,63,forms/b06-097.png
b06-100,133,4,prt,10,9,68,59,forms/b06-100.png
b06-110,126,4,all,8,8,69,69,forms/b06-110.png
c01-009,135,4,prt,11,9,86,64,forms/c01-009.png
c01-014,135,3,prt,11,8,93,67,forms/c01-014.png
c01-066,136,2,all,10,10,70,70,forms/c01-066.png
c02-000,137,2,all,10,10,79,79,forms/c02-000.png
c02-003,138,3,prt,9,8,71,63,forms/c02-003.png
c02-007,139,4,prt,9,7,76,58,forms/c02-007.png
c02-012,140,4,prt,10,9,88,77,forms/c02-012.png
c02-017,139,4,all,10,10,76,76,forms/c02-017.png
c02-022,140,3,all,9,9,65,65,forms/c02-022.png
c02-026,141,3,prt,9,7,73,55,forms/c02-026.png
c02-030,142,4,prt,9,7,77,59,forms/c02-030.png
c02-035,143,2,prt,6,5,65,54,forms/c02-035.png
c02-049,144,2,prt,11,8,82,53,forms/c02-049.png
c02-056,145,2,prt,9,8,86,75,forms/c02-056.png
c02-059,146,4,prt,11,10,89,86,forms/c02-059.png
c02-078,147,3,prt,10,8,100,79,forms/c02-078.png
c02-082,148,3,prt,10,8,71,57,forms/c02-082.png
c02-089,149,1,prt,7,4,43,21,forms/c02-089.png
c03-000a,150,2,prt,8,7,60,53,forms/c03-000a.png
c03-000b,151,2,all,7,7,60,60,forms/c03-000b.png
c03-000c,152,2,all,8,8,61,61,forms/c03-000c.png
c03-000d,153,2,all,8,8,61,61,forms/c03-000d.png
c03-000e,154,2,prt,8,6,60,45,forms/c03-000e.png
c03-000f,155,2,all,9,9,60,60,forms/c03-000f.png
c03-003a,150,3,prt,9,7,79,63,forms/c03-003a.png
c03-003b,151,3,prt,8,7,79,69,forms/c03-003b.png
c03-007,156,2,prt,8,7,69,59,forms/c03-007.png
c03-003c,152,3,all,9,9,80,80,forms/c03-003c.png
c03-003d,153,3,prt,9,8,80,72,forms/c03-003d.png
c03-003e,154,3,prt,9,8,80,69,forms/c03-003e.png
c03-003f,155,3,prt,10,8,80,63,forms/c03-003f.png
c03-007a,150,2,all,8,8,69,69,forms/c03-007a.png
c03-007b,151,2,prt,8,7,69,61,forms/c03-007b.png
c03-007c,152,2,prt,9,7,69,60,forms/c03-007c.png
c03-007d,153,2,all,9,9,69,69,forms/c03-007d.png
c03-007e,154,2,all,9,9,70,70,forms/c03-007e.png
c03-007f,155,2,all,9,9,70,70,forms/c03-007f.png
c03-016a,150,4,all,10,10,85,85,forms/c03-016a.png
c03-016b,151,4,prt,10,7,88,61,forms/c03-016b.png
c03-016c,152,4,prt,10,7,88,62,forms/c03-016c.png
c03-016d,153,4,prt,11,10,88,80,forms/c03-016d.png
c03-016e,154,4,prt,11,10,89,82,forms/c03-016e.png
c03-021a,150,3,prt,10,9,90,79,forms/c03-021a.png
c03-021b,151,3,prt,9,6,89,62,forms/c03-021b.png
c03-021c,152,3,prt,10,9,89,79,forms/c03-021c.png
c03-021d,153,3,all,10,10,89,89,forms/c03-021d.png
c03-021e,154,3,prt,11,10,91,86,forms/c03-021e.png
c03-021f,155,3,prt,10,7,82,54,forms/c03-021f.png
c03-081a,150,2,all,10,10,81,81,forms/c03-081a.png
c03-081b,151,2,prt,10,9,81,73,forms/c03-081b.png
c03-081c,152,2,prt,9,8,81,70,forms/c03-081c.png
c03-081d,153,2,all,11,11,81,81,forms/c03-081d.png
c03-081e,154,2,prt,11,10,82,71,forms/c03-081e.png
c03-081f,155,2,prt,10,9,79,69,forms/c03-081f.png
c03-084a,150,2,all,8,8,63,63,forms/c03-084a.png
c03-084b,151,2,prt,8,4,63,30,forms/c03-084b.png
c03-084c,152,2,prt,7,3,64,24,forms/c03-084c.png
c03-084d,153,2,all,9,9,65,65,forms/c03-084d.png
c03-084e,154,2,prt,8,7,63,54,forms/c03-084e.png
c03-084f,155,2,prt,9,7,63,45,forms/c03-084f.png
c03-087a,150,2,prt,9,8,66,59,forms/c03-087a.png
c03-087b,151,2,prt,9,7,66,50,forms/c03-087b.png
c03-087c,152,2,prt,8,7,68,63,forms/c03-087c.png
c03-087d,153,2,all,10,10,66,66,forms/c03-087d.png
c03-087e,154,2,all,9,9,68,68,forms/c03-087e.png
c03-087f,155,2,prt,9,8,66,59,forms/c03-087f.png
c03-094a,150,1,prt,10,9,80,72,forms/c03-094a.png
c03-094b,151,1,prt,10,8,78,62,forms/c03-094b.png
c03-094c,152,1,prt,9,8,79,70,forms/c03-094c.png
c03-094d,153,1,all,11,11,79,79,forms/c03-094d.png
c03-094e,154,1,prt,10,7,79,55,forms/c03-094e.png
c03-094f,155,1,prt,10,9,79,70,forms/c03-094f.png
c03-096a,150,3,all,9,9,67,67,forms/c03-096a.png
c03-096b,151,3,prt,8,7,67,61,forms/c03-096b.png
c03-096c,152,3,all,8,8,67,67,forms/c03-096c.png
c03-096d,153,3,all,9,9,67,67,forms/c03-096d.png
c03-096e,154,3,all,8,8,67,67,forms/c03-096e.png
c03-096f,155,3,all,9,9,67,67,forms/c03-096f.png
c04-000,157,3,all,5,5,50,50,forms/c04-000.png
c04-004,157,3,all,8,8,78,78,forms/c04-004.png
c04-008,158,4,prt,9,6,96,55,forms/c04-008.png
c04-013,158,3,prt,7,5,62,43,forms/c04-013.png
c04-017,159,5,prt,8,7,79,65,forms/c04-017.png
c04-023,160,4,all,6,6,54,54,forms/c04-023.png
c04-028,160,6,prt,8,6,75,58,forms/c04-028.png
c04-035,159,3,prt,8,6,70,49,forms/c04-035.png
c04-039,161,4,prt,9,6,68,41,forms/c04-039.png
c04-044,161,5,prt,9,4,77,30,forms/c04-044.png
c04-050,162,5,all,9,9,82,82,forms/c04-050.png
c04-056,162,4,prt,9,7,77,62,forms/c04-056.png
c04-061,163,4,prt,7,5,66,48,forms/c04-061.png
c04-066,163,8,prt,9,7,87,66,forms/c04-066.png
c04-075,164,4,prt,7,4,85,49,forms/c04-075.png
c04-080,165,8,all,7,7,65,65,forms/c04-080.png
c04-089,166,8,prt,8,5,101,66,forms/c04-089.png
c04-098,166,6,prt,7,6,83,74,forms/c04-098.png
c04-105,167,4,all,8,8,63,63,forms/c04-105.png
c04-110,168,5,prt,4,2,70,32,forms/c04-110.png
c04-116,168,5,all,4,4,77,77,forms/c04-116.png
c04-122,164,5,prt,8,4,106,47,forms/c04-122.png
c04-128,165,5,prt,8,5,80,47,forms/c04-128.png
c04-134,169,4,prt,7,3,77,22,forms/c04-134.png
c04-139,169,4,all,7,7,77,77,forms/c04-139.png
c04-144,170,5,prt,8,6,78,55,forms/c04-144.png
c04-150,170,5,prt,8,6,81,69,forms/c04-150.png
c04-156,171,3,all,7,7,52,52,forms/c04-156.png
c04-160,171,4,prt,10,6,84,49,forms/c04-160.png
c04-165,172,4,prt,9,5,83,41,forms/c04-165.png
c04-170,172,3,all,5,5,37,37,forms/c04-170.png
c06-000,130,4,all,7,7,60,60,forms/c06-000.png
c06-005,125,5,all,9,9,73,73,forms/c06-005.png
c06-011,173,2,all,9,9,70,70,forms/c06-011.png
c06-014,129,5,prt,10,1,76,6,forms/c06-014.png
c06-020,125,6,prt,8,6,74,56,forms/c06-020.png
c06-027,128,3,prt,8,6,79,58,forms/c06-027.png
c06-031,130,7,prt,8,6,71,50,forms/c06-031.png
c06-039,123,3,all,8,8,72,72,forms/c06-039.png
c06-043,133,3,prt,10,9,65,56,forms/c06-043.png
c06-047,132,4,prt,7,5,73,50,forms/c06-047.png
c06-052,126,5,prt,7,4,70,43,forms/c06-052.png
c06-058,131,3,all,7,7,61,61,forms/c06-058.png
c06-076,128,3,prt,10,8,90,73,forms/c06-076.png
c06-080,133,2,prt,10,8,71,55,forms/c06-080.png
c06-083,174,3,all,9,9,82,82,forms/c06-083.png
c06-087,126,3,prt,8,5,78,46,forms/c06-087.png
c06-091,132,3,prt,6,4,72,52,forms/c06-091.png
c06-095,131,4,prt,8,7,69,59,forms/c06-095.png
c06-100,123,2,prt,8,7,80,73,forms/c06-100.png
c06-103,129,2,prt,10,5,67,29,forms/c06-103.png
c06-106,127,4,prt,11,7,80,53,forms/c06-106.png
c06-111,124,4,all,8,8,62,62,forms/c06-111.png
c06-116,133,6,prt,11,10,79,71,forms/c06-116.png
c06-128,128,4,prt,9,8,69,61,forms/c06-128.png
c06-138,129,1,prt,11,6,54,26,forms/c06-138.png
d01-016,175,2,all,4,4,54,54,forms/d01-016.png
d01-019,175,4,all,6,6,89,89,forms/d01-019.png
d01-024,176,3,prt,9,8,65,61,forms/d01-024.png
d01-049,177,2,prt,9,8,76,69,forms/d01-049.png
d01-052,177,3,all,8,8,61,61,forms/d01-052.png
d01-056,178,3,prt,10,9,81,75,forms/d01-056.png
d01-060,178,3,all,10,10,71,71,forms/d01-060.png
d01-080,179,4,all,8,8,77,77,forms/d01-080.png
d01-085,179,4,prt,7,5,72,51,forms/d01-085.png
d01-098,180,5,prt,8,5,82,58,forms/d01-098.png
d01-104,180,5,prt,9,8,87,81,forms/d01-104.png
d01-118,181,4,all,7,7,69,69,forms/d01-118.png
d01-123,181,3,all,8,8,76,76,forms/d01-123.png
d03-112,182,4,all,9,9,70,70,forms/d03-112.png
d03-117,183,4,prt,9,8,75,65,forms/d03-117.png
d04-005,184,2,prt,8,6,71,48,forms/d04-005.png
d04-008,184,3,all,6,6,60,60,forms/d04-008.png
